"episode","index","picard","riker","geordi","tasha","worf","beverly","pulaski","troi","data","wesley","tot_words","picard_prop","riker_prop","geordi_prop","tasha_prop","worf_prop","beverly_prop","pulaski_prop","troi_prop","data_prop","wesley_prop","released","episode_number","season"
"night terrors",88,641,159,229,0,102,663,0,731,1020,0,3545,0.180818053596615,0.044851904090268,0.0645980253878702,0,0.0287729196050776,0.187023977433004,0,0.206205923836389,0.287729196050776,0,1991-03-16,17,4
"parallels",160,308,796,138,0,1596,242,0,668,1156,236,5140,0.0599221789883269,0.154863813229572,0.0268482490272374,0,0.310505836575875,0.0470817120622568,0,0.129961089494163,0.224902723735409,0.0459143968871595,1993-11-27,11,7
"peak performance",45,1181,894,411,0,293,0,348,210,833,253,4423,0.267013339362424,0.20212525435225,0.0929233551887859,0,0.0662446303413972,0,0.0786796292109428,0.0474790865928103,0.188333710151481,0.0572009947999096,1989-07-08,21,2
"pen pals",39,1121,737,78,0,163,0,423,285,884,603,4294,0.261061946902655,0.171634839310666,0.0181648812296227,0,0.0379599441080578,0,0.0985095482068002,0.0663716814159292,0.205868653935724,0.140428504890545,1989-04-29,15,2
"phantasms",155,957,239,1063,0,129,329,0,533,1370,0,4620,0.207142857142857,0.0517316017316017,0.23008658008658,0,0.0279220779220779,0.0712121212121212,0,0.115367965367965,0.296536796536797,0,1993-10-23,6,7
"power play",112,1422,964,496,0,248,319,0,1125,604,0,5178,0.274623406720742,0.186172267284666,0.0957898802626497,0,0.0478949401313248,0.0616067979915025,0,0.217265353418308,0.116647354190807,0,1992-02-22,15,5
"preemptive strike",173,1324,255,19,0,195,25,0,26,308,0,2152,0.615241635687732,0.118494423791822,0.00882899628252788,0,0.0906133828996283,0.0116171003717472,0,0.0120817843866171,0.143122676579926,0,1994-05-14,24,7
"qpid",91,1548,292,80,0,52,207,0,174,148,0,2501,0.618952419032387,0.116753298680528,0.0319872051179528,0,0.0207916833266693,0.0827668932427029,0,0.0695721711315474,0.0591763294682127,0,1991-04-20,20,4
"q who?",40,1142,829,443,0,393,0,0,56,384,69,3316,0.344390832328106,0.25,0.133594692400482,0,0.118516284680338,0,0,0.0168878166465621,0.115802171290712,0.0208082026537998,1989-05-06,16,2
"rascals",130,1156,675,167,0,160,473,0,193,97,0,2921,0.395754878466279,0.231085244779185,0.0571722013009243,0,0.0547757617254365,0.161930845600822,0,0.0660732625813078,0.0332078055460459,0,1992-10-30,7,6
